,,Mato Grosso,,Mato Grosso do Sul,,Rondonia,,Pará,,Goias,,São Paulo,
Mês,Ano,Fêmea,Macho,Fêmea,Macho,Fêmea,Macho,Fêmea,Macho,Fêmea,Macho,Fêmea,Macho
Janeiro,2025,333650,288211,185419,192628,183187,129837,152596,123926,,,,
Fevereiro,2025,315133,248609,186.830,171971,168273,115510,141650,96108,,,,
Março,2025,288074,231691,175226,161168,168599,105169,147960,89598,,,,
Abril,2025,336003,255170,171800,143679,173968,108113,153068,92751,,,,
Maio,2025,335882,281293,179242,175667,185570,117252,160154,103393,,,,
Junho,2025,322158,293048,180276,174030,199509,115455,150193,96568,,,,
Julho,2025,341420,318616,190317,189473,207611,134236,86612,138294,,,,
Agosto,2025,361558,303135,176565,182148,174235,135674,108426,63974,,,,
Setembro,2025,369596,290685,161081,195461,151197,163024,55322,89189,,,,
Outubro,2025,435382,280645,144374,192958,146503,165150,67152,35086,,,,
Novembro,2025,396967,246506,113732,163232,137473,161699,,,,,,
Dezembro,2025,353728,257780,141304,176567,143740,136403,,,,,,
Janeiro,2026,310426,330461,170546,167513,154166,125414,212402,156186,,,,
Fevereiro,2026,298836,266581,177453,148743,160202,100209,196598,131311,,,,
Março,2026,323962,301278,191661,179369,180039,126255,211118,146503,,,,
Abril,2026,304307,280853,170490,165972,169851,115710,189894,148208,,,,
Maio,2026,302317,306818,176120,174848,162647,126384,188406,152453,,,,
Junho,2026,300802,317543,169680,189046,163154,131007,,,,,,
Julho,2026,,,,,,,,,,,,
Agosto,2026,,,,,,,,,,,,
Setembro,2026,,,,,,,,,,,,
Outubro,2026,,,,,,,,,,,,
Novembro,2026,,,,,,,,,,,,
Dezembro,2026,,,,,,,,,,,,
